,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
0,40,4,1,2,0,3036,1,0,0,4,8,261,0,0,0,0,0
1,26,9,2,1,0,945,1,0,0,4,8,151,0,0,0,0,0
2,15,2,1,1,0,918,1,1,0,4,8,76,0,0,0,0,0
3,29,1,1,3,0,2420,1,0,0,4,8,92,0,0,0,0,0
4,15,11,2,3,0,917,0,0,0,4,8,198,0,0,0,0,0
5,17,4,1,2,0,1147,1,0,0,4,8,139,0,0,0,0,0
6,10,4,2,2,0,1363,1,1,0,4,8,217,0,0,0,0,0
7,24,2,0,2,1,918,1,0,0,4,8,380,0,0,0,0,0
8,40,5,1,0,0,1037,1,0,0,4,8,50,0,0,0,0,0
9,25,9,2,1,0,1509,1,0,0,4,8,55,0,0,0,0,0
10,23,0,0,1,0,1186,1,0,0,4,8,222,0,0,0,0,0
11,11,0,2,1,0,1306,1,0,0,4,8,137,0,0,0,0,0
12,35,9,1,1,0,922,1,0,0,4,8,517,0,0,0,0,0
13,40,9,1,3,0,987,1,0,0,4,8,71,0,0,0,0,0
14,39,7,1,1,0,1078,1,0,0,4,8,174,0,0,0,0,0
15,33,5,1,0,0,1145,1,0,0,4,8,353,0,0,0,0,0
16,27,0,2,3,0,929,1,0,0,4,8,98,0,0,0,0,0
17,39,1,1,0,0,968,1,0,0,4,8,38,0,0,0,0,0
18,42,5,1,0,0,976,1,0,0,4,8,219,0,0,0,0,0
19,15,7,1,1,0,916,1,0,0,4,8,54,0,0,0,0,0
20,10,1,1,1,0,1639,1,1,0,4,8,262,0,0,0,0,0
21,38,4,1,2,0,1695,1,0,0,4,8,164,0,0,0,0,0
22,14,1,2,0,0,939,1,1,0,4,8,160,0,0,0,0,0
23,7,7,1,1,0,966,1,0,0,4,8,342,0,0,0,0,0
24,22,5,1,0,0,916,1,1,0,4,8,181,0,0,0,0,0
25,26,0,1,1,0,547,1,0,0,4,8,172,0,0,0,0,0
26,21,4,2,2,0,1171,1,0,0,4,8,296,0,0,0,0,0
27,34,2,1,1,0,1029,1,1,0,4,8,127,0,0,0,0,0
28,28,4,2,1,0,670,1,0,0,4,8,255,1,0,0,0,0
29,18,9,2,1,0,1181,1,1,0,4,8,348,0,0,0,0,0
30,39,9,1,1,0,1755,0,1,0,4,8,225,0,0,0,0,0
31,31,4,1,2,0,1294,1,0,0,4,8,230,0,0,0,0,0
32,42,0,1,1,0,955,1,1,0,4,8,208,0,0,0,0,0
33,41,1,1,1,0,916,1,0,0,4,8,226,0,0,0,0,0
34,33,4,1,2,0,6573,1,0,0,4,8,336,0,0,0,0,0
35,39,9,0,1,0,979,1,0,0,4,8,242,0,0,0,0,0
36,7,1,1,1,0,909,1,0,0,4,8,365,0,0,0,0,0
37,35,9,1,1,0,913,0,0,0,4,8,1443,0,0,0,0,0
38,18,0,0,1,0,1422,1,0,0,4,8,577,0,0,0,0,0
39,19,0,2,1,0,916,1,0,0,4,8,137,0,0,0,0,0
40,26,7,0,1,0,3443,1,0,0,4,8,160,0,0,0,0,0
41,32,4,1,1,0,965,1,0,0,4,8,180,1,0,0,0,0
42,42,1,1,3,0,1020,1,0,0,4,8,22,0,0,0,0,0
43,36,5,1,1,0,1445,1,0,0,4,8,1374,0,0,0,0,0
44,40,5,1,3,0,1012,1,0,0,4,8,616,0,0,0,0,0
